time,team_name,slogan,observation,challenge_definition,product_introduction,team_introduction,self_question,self_answer,link1,link2,agree,name1,role1,name2,role2,name3,role3,name4,role4,name5,role5,name6,role6,folder_name,field,team_id,link1_name,link2_name
2017/2/6 上午 1:44:43,Smart Turn,簡單、流暢、時尚,身為學生，我們多半屬於機車族，因此我們能體會機車族找路的不方便。就目前市場而言，選購一款手機架裝在機車上搭配google map是最常見的方式，然而這樣的方式容易讓手機電量大量消耗；另外，透過地圖的顯示，對於在騎機車當下的人們而言不是最好的顯示方式，因此我們將打造出對機車族最友善的導航，讓騎士們的每一趟旅程都能「簡單、流暢、時尚」。,我們發現，真正的問題在於資訊的呈現與傳遞是否符合機車騎士的需求。,SMART TURN 的產品包括smart turn app與smart turn裝置，透過app輸入您的目的地＞選擇路徑＞連接裝置＞開始導航。簡單的操作方式，就可以將map中的資訊轉化成裝置上的燈號。當您在騎乘時，您不必再拿起手機查看，smart turn的裝置將會以簡單的燈號告知您下一個路口的方向。而燈號的顯示方式相較於文字或地圖，對於騎士而言較容易接收資訊，騎乘時將不必再分心於找路這件事情上，有助於機車騎士的騎乘安全。簡單的資訊，提升旅程的流暢；產品的價值，創造最新時尚。,"二十出頭的青春，不是懵懂無知，而是改變世界的衝動；
對夢想的執著，不是說說而已，我們用行動力證明。",創業是甘還是苦？,"人多就嘴雜，意見不合會吵架，遇到瓶頸只能想辦法...真的有點苦苦的。
但是我說，沒有爭吵哪有創意的火花，沒有瓶頸哪有進步與突破，
沒有夥伴的相互扶持哪有SMART TURN。
你說，是甘還是苦？我說，是苦釀造出甘。",https://www.facebook.com/SmartTurnNeverStop/,,是，全部成員皆同意公開。,楊智捷,霸道執行長,王韻淨,可愛小秘書,吳啟聖,天才工程師,周明邦,笑臉外交官,楊智雅,美逆行銷長,楊婷茹,直爽營運長,https://drive.google.com/drive/u/0/folders/0B4Z2OmAhn7ObTDZBQXQtYjMwdlk,sl,sl_69,粉絲專頁,
2017/2/8 下午 3:40:11,Freshe Run,"Freshe Run 要為都會跑者創造
前所未見的清新舒適體驗","這是Summer，她是個為跑瘋狂的都會跑者。每天都至少跑10K的她，因為討厭一成不變的景象所以不喜歡在健身房中跑步。然而在都市中路跑，空污跟路邊汽機車排放的廢氣，讓她常常會懷疑：「路跑到底是健康自信，還是慢性自殺？」

她聽完我們的想法，這樣說：「每天就這黃金1小時可以完全放鬆，如果有方法可以提升這塊的體驗，要跑者花再多錢都願意！衷心期待產品問世的那天，我要當你們第一位死忠用戶！」",真正的問題在於：除了健康，都會跑者更追求身心靈放鬆。所以不僅要終結空污，更要提升跑步體驗。,"現代都會工作壓力大，許多上班族都會在下班後慢跑舒壓；然而都會空氣品質差，讓都會中跑者的健康蒙上一層「灰」。 

Freshe Run 是經流體力學設計過的髮帶，讓高速氣流在面前打造一道隱形的空氣防護罩，同時注入濾淨空氣。免去口罩的悶熱不適，但同樣的清新更加的舒適。讓 PM2.5 和汽機車不再是阻止跑者欣賞城市之美的夢魘！","成員來自不同專業，但因為對運動有共同的熱情，
決定攜手打造前所未見的優質運動體驗。",原型機真的有效嗎？,"想體驗的話來找我們團隊，我們目前正徵求熱血跑者當我們的體驗測試者。
請簡單介紹自己並email到 enchaim@gmail.com",http://www.fresherun.com/,https://youtu.be/N-Phukmc-b4,否，僅部分成員同意公開。,Enchaim,Dreamer,Andrew,Engineering,John,Engineering,Ray,Marketing,Yi,Patent,Lynn,Finance,https://www.dropbox.com/sh/8xiid1y95qbnba9/AAB2AFVN6YjW5zskRqYWxMxWa?dl=0,hc,hc_52,官方網站,產品影片
2017/2/9 上午 6:25:39,綠色創意農業隊,創造高價值的農業循環經濟,目前國內許多事業的副產品或可用廢棄物回收創造的價值過低。,我們發現啤酒廠擁有許多廢矽藻土，該材料天生具有表面孔隙，適合微生物生長。,我們利用啤酒廠回收的廢矽藻土，結合本團隊所開發出全世界第一利用啤酒麥粕與植物澱粉所開發的完全生物可分解材料，再利用綠色環保物理發泡技術，形成世界首創之生物可分解多孔隙材料，該材料可用於微生物的繁殖介質，可應用於養殖業的淨水與農業的緩釋型肥料，回收價值與創造的經濟價值高達數萬倍，年產值也上看數十億至百億元。,"本團隊由中科院化學所研究員，結合苗栗村耕合作社農漁民與
數家產業界成員組成，本團隊具有豐富研究產學經驗。",團隊近期成果？,團隊近期成果豐碩，同時增加幾位產業界生力軍協助技術建立與專利佈局。,,,是，全部成員皆同意公開。,趙本善,研究員,鍾沅甫,研究員,王金鵬,研究員,葉雲清,農民,陳裕強,產業先進,蘇佳慶,產業先進,https://drive.google.com/drive/folders/0B_UrnZVCev9takctQjdfUGtsTDg,fa,fa_64,,
2017/2/11 下午 4:49:12,Urban Bee!,"一支樂於接受挑戰，並對於改善
周遭環境充滿一腔熱血的團隊",地球上有超過三分之一的農作物高度依賴蜜蜂的授粉行為來延續生長，而近年來逐漸嚴重的蜜蜂消失情況甚至使農人必須採取人工授粉等手段來維持農產品的產量，這樣的方式大大的增加了成本，導致農業大受影響。為了因應蜜蜂數量快速下降的狀況，目前許多的國家都正如火如荼地推行都市養蜂的計畫，包括紐約、倫敦、東京等大都會區。,我們發現，蜜蜂的重要性遠大於一般人的想像，我們計畫讓更多人加入都市養蜂的行列。,"都市的農藥汙染較少，冬天也較空曠的鄉村溫暖，對於蜜蜂來說是理想的居住環境，而因為土地開發逐漸淪為蜜蜂空城的都市也需要蜜蜂的授粉能力活化城市生態。這也是為什麼目前都市養蜂已是許多城市發展的其中一個目標，但是實際上願意投入的人數還僅限於一群特定的玩家，在數量不足的情況下，使得都市養蜂難以達成原來的目標。

而透過我們的產品及服務，一般人也能夠毫無壓力的進行都市養蜂，得到最新鮮的琥珀色蜂蜜及五顏六色的蜂花粉，並安全地享受養蜂為家庭所帶來的樂趣。","這是一支勇於接受挑戰並且對於改善周遭環境充滿一腔熱血的團隊，
每個成員對於最終改善環境的信念一致。",為什麼會想要開發和養蜂有關的產品/服務?,"在東京接觸過當地的都市養蜂，了解蜜蜂快速消失的現況以及對於環境生態的重要性。
且養蜂有著獨特的樂趣，還記得第一次品嘗從蜂箱中取出的新鮮琥珀色蜂蜜時，那在唇齒間產生衝擊的味道就像是城市中的各種花朵，濃郁卻層次分明，甜美而不膩，
當下就想著，若有更多人能享受到這感覺該有多好! 便開始思考和養蜂有關的產品了。",,,否，僅部分成員同意公開。,陳奕廷,產品/營運的企劃,高翊軒,程式設計與應用,賈宇軒,產品/視覺設計,黃士維,空間規劃,吳秉倫,電子/硬體工程,,,https://drive.google.com/drive/folders/0B5_E7z56ljxpWVIwT0dDX2hmVU0?usp=sharing,et,et_72,,
2017/2/11 下午 10:17:14,無痕海洋,終止垃圾在海上漂流的生命旅程,"據估計，每年約有800萬噸的塑膠流入海洋。因此，海洋垃圾的受害者層出不窮，從擱淺鯨豚胃中的塑膠袋，到信天翁誤食塑膠垃圾而死亡，這一幕幕的景象，都一再提醒我們，除了拒絕使用塑膠製品外，還可以為海洋做些什麼？

於是，我們走入漁港，了解港灣生態和臨海居民對港灣垃圾的想法。發現，居民同樣地在意環境的乾淨，只是他們對垃圾無能為力。今天清除了，明天一樣會隨著潮汐把另一波垃圾帶進來，居民漸漸失望，然後選擇放棄。",我們發現，真正的問題在於如何快速攔截港灣垃圾的漂流？,這是一個安裝在港內的垃圾蒐集器，它能夠收集港灣中漂浮型態的垃圾。將這個裝置推展到各個港區，從垃圾的移除到做到協助港灣的轉型，促成一個循環圈。同時利用裝置所收集到的垃圾進行分析，了解垃圾的來源及組成成分，透過大數據分析，掌握垃圾對於未來環境影響及破壞的趨勢。,關於海洋廢棄物，我們主張源頭減量，更要有效移除。,參賽至今最大的收穫？,從設計思考到商業模式，對我們來說都是新的挑戰，不論是參賽中接觸到的業師，下班後參加創創的課程，每一個時刻都是在增進我們的視野，開創我們生命中嶄新的旅程。,https://www.facebook.com/trueazure/,,是，全部成員皆同意公開。,丁丁,熱血首腦,亮亮,全方位專管,旺旺,環評達人,Elvis,資訊格鬥員,小鈺,積極實測員,Candy,視覺先決者,https://drive.google.com/drive/folders/0B-M8HLebLXXTX2hZMGhOZG45UE0?usp=sharing,et,et_68,粉絲專頁,
2017/2/12 上午 1:09:47,毛毛的,"我們要建造一個貓村，
一個貓的天堂！！",2017.2.4修正後的「動物保護法」正式上路，將執行「零安樂死」政策。此次修法雖然可以避免流浪動物因收容空間不足而遭到撲殺，但政府尚未規劃配套措施，讓人憂心政策上路後，將會爆發棄養潮。如此一來，各收容中心及中途之家的壓力就更大了，而流浪動物的問題也將會越來越嚴重。,我們希望能夠解決流浪貓的問題，也希望能夠幫助辛苦經營的中途之家。,"【毛】代表毛小孩，代表我們以毛小孩的角度為出發點；
【毛的】代表毛小孩的相關需求。

我們希望能以社會企業的精神建置一個貓村，讓貓能「自己的飼料自己賺」，也透過動保教育課程，讓遊客帶走動保觀念與貓知識。",我們希望能以新的思維及新的做法，為浪貓尋找新的契機！！,長遠目標為何？,到世界各地建造貓村！！,,,否，所有成員皆不同意公開。,,,,,,,,,,,,,https://drive.google.com/open?id=0B0lPuD0VtBsUTFluT0JZSjVfU0k,sy,sy_63,,
2017/2/12 下午 7:22:46,洛克昂,立業之本首重於人,在現在的環境，空氣汙染、電力短缺、非核家園、2015巴黎高峰會以及平均購買力逐年下降的環境下，找出一個可以打通這環境死結的產品來為「人」執行服務，不是一件簡單的事情。因為人本身就不知道自身需要的是什麼。常常問題發生，也產生了傷害後才會開始思考解決。,我們發現、真正的問題在於用電問題，特別是溫室效應下的用電。,"當天氣熱了你會想要使用空調降溫，打開空調也代表電廠需要使用火力發電來補足這些臨時的大量用電。引發的結果是空氣更加糟糕而室外環境卻是更加的炎熱。

風蜻蜓2.0的使用環境就是要打破這樣的惡性循環。讓自然的風力變成居住環境的降溫設備。漸少耗電量大的空調使用。","團隊是由工業設計、機構、電機、自動控制、
化工、機械....等方面的人才組成。
強調環保、文化及設計。",團隊到目前遇到過那些問題？,"團隊目前最缺乏的就是資金方面的問題。這要靠團隊的募資能力及競賽來打知名度。
再來就是溝通。大部分的業師都會用開放性的心態來聆聽我們要製作的產品及定位，
但還是偶爾會遇到看過大型風機報告的專家套用在我們的微型風機上面。
兩者觀念相差甚巨，使用的環境跟作用也不同。
但很多人常常我們說到一半就已經打斷。",,,否，僅部分成員同意公開。,陳勝豐,隊長達文西,鄭朝元,特斯拉,小高,佛蘭西斯,家群,希羅,,,,,https://drive.google.com/drive/folders/0B3TbdbL_k2cIRDE0NGx6WjI1aVU?usp=sharing,et,et_65,,
2017/2/12 下午 9:42:38,國立臺灣大學急檢創意開發團隊,"抽好血 好抽血 
關懷驅動科技
科技優化服務","抽血流程強調抽血前消毒、下針的訓練標準化，採檢後流程如試管處置無標準化。參與抽血的人員以教育訓練加強亦不能改善退件。實驗室大型混合器、進口一體成形的護理車上(200萬元)含小型混合器、尋找市售產品需要插電，不適合臨床使用。

我們以使用者之關懷為出發點，克服採檢的不方便研發輔具，運用流程改造，於User-Need→Design input提出設計，進行確效與驗證評估，以前瞻性的提案動機導入臨床作業，後續我們將延續此精神，在服務品質上持續努力。",我們發現，在採血後的第一時間即混合血液與抗凝劑，避免血液凝固機轉啟動，需要標準化。,"此研發案為採血流程，在採血後的第一時間即可開始混合血液與抗凝劑，使檢體不會因為未充分手動搖晃，啟動血液凝固機轉，造成凝固而無法進行後續的檢驗工作，以做到標準化。

因此可以優化抽血採檢流程，運用流程改造可以減少重新對病人抽血的次數、護理人員重抽之時間消耗與面對病人解釋的壓力，這些輔具可減輕護理工作的負荷，預防再次採檢針扎的職災發生，減少病人抱怨，間接可能減少醫療暴力事件與留置時間，提升檢驗報告與醫師判讀時效，加速病患治療時機，提升醫護服務品質。","由臺大醫院急診部與檢醫部組成團隊，創意研發輔具，
協助檢體採檢流程，以提供迅速與優化之醫療服務品質。",參賽至今遭遇最大的挑戰？,"我們團隊成員多為醫療背景，對於產品的外觀設計，機械化設備調整，加強產品功能，
供電模式等，團隊討論的想法，不得其門而入；
有幸在此比賽的過程，主辦單位協助安排業師指導，軟硬體專業教授諮詢，實做老師動手協助打造構想模型，maker系列工作坊等，將我們的想法更具體實現。",,,否，僅部分成員同意公開。,,,,,,,,,,,,,https://drive.google.com/drive/my-drive,hc,hc_69,,
2017/2/12 下午 11:14:29,田中的白鷺鷥,"精確診斷 對症下藥 
安全農法 友善生態",在臺灣，許多想投入農業生產的「新農」，在踏入陌生的行業之時，必然會在摸索的階段付出許多學費，尤其是面對病蟲害時，無法正確診斷，導致遲遲無法進入獲利階段。透過田中白鷺鷥為客戶設計的整體植物健康管理規劃，為新農縮短這段摸索的時程，協助這些新農，早日進入獲利的生產階段。,我們發現，真正的問題在於生產者對於病蟲害管理的能力，無法面對田間多變的挑戰。,"病蟲害監測與診斷—預防勝於治療，透過正確診斷與長期的病情追蹤、調查，落實對症下藥及提早預防。

用藥處方安全指導—農藥並不可怕，正確使用能保障農友與消費者安全。

有機防治資材開發—為無毒農業創造有效的防治方法。","本團隊有昆蟲、植物病理之專家，對於作物健康管理有足夠背景知識
以及田間經驗，並具有農藥管理人員證書。",如何從服務中產生利潤和商業價值？,"「田中的白鷺鷥」將與農業生產者，建立長期合作關係，收費標準隨著該農戶選擇的
服務、病蟲害發生情況、農產市場價格…等做出調整，創造雙贏互惠的局面。",,,否，所有成員皆不同意公開。,,,,,,,,,,,,,改天再上船可以嗎,fa,fa_56,,
2017/2/12 下午 11:37:53,OysterX,透過創新科技幫助更多人更簡單地保存及分享完整旅行記憶,現代人的生命過程，常常不僅僅限制在某特定城市或區域，隨著交通的發達，廉價航空的普及，更多的人有著多元城市及國家的生活經驗，旅行不再是特定年齡層的專利，或非得如過往極窮苦的方式(如傳統背包客)，Flashpacker越來越多，更多的人能夠走出城市，國境之外。這樣的背景下，對於年輕世代而言，除了自己的學歷，工作經歷，旅行生活經歷也成為構成自我的重要要素，越來越多年輕人，想要從中累積出屬於自己的旅行意義。,越來越多人重視旅行，卻一直沒有方便好用的工具來記錄，並呈現一個人一生的旅行成就。,OysterX要幫助每個人更簡單的產生專屬的旅行紀錄，透過整合定位資訊，照片，文字紀錄，使用全新的呈現方法，在旅行當下自動記錄，並在旅行後自動產生遊記，更能方便的儲存至我們提供的雲端服務亦或同時分享至現有社交平台；同時，我們也依據使用者資料為其分析，幫助描繪出自己的世界觀，量化在世界中的探索成果，就像Linkedin呈現一個人的工作學歷經歷，一個人一生都會有很多趟旅遊、探險後，OysterX能將曾經待過的城市，走過的路程用更完整且容易理解的方式呈現出來，表現一個人一生故事。,"OX團隊主要由台大校友及在校生組成，熱愛旅行，
都有過創業，募資，大型企業等經驗，經驗豐富且完整。",創業中有哪些經歷，初衷是否有改變？,"從一開始一無所有，到有了團隊，有了產品的雛形，然後不斷改良，團隊也經歷過重組，除了思考產品需求與開發，也開始要思考團隊運作，工作方法和文化的建立，
這些都分別有很多的過程；這些過程中難免起伏，但初衷也隨之越來越清晰而堅定。",http://www.oysterx.bar/tw,https://www.facebook.com/oysterx,是，全部成員皆同意公開。,丁柏村,營運負責人,廖玄同,產品負責人,鄭棋元,行銷負責人,邱綜樹,首席工程師,,,,,https://drive.google.com/drive/folders/0B7E5riBm6On-WFVUSnc2bE1GUGs?usp=sharing,sl,sl_66,官方網站,粉絲專頁
